0|iata_code|1|name_eng|2|city_rus|3|country_rus
AGM|AGM|Tasiilaq|Tasiilaq|||Гренландия|Гренландия
AGN|AGN|Angoon|Angoon|||США|США
AGO|AGO|Municipal|Municipal|||США|США
AGP|AGP|Pablo Ruiz Picasso|Pablo Ruiz Picasso|Малага|Малага|Испания|Испания
AGQ|AGQ|Agrinion|Agrinion|Агринио|Агринио|Греция|Греция
AGR|AGR|Kheria|Kheria|Агра|Агра|Индия|Индия
AGS|AGS|Bush Field|Bush Field|||США|США
AGT|AGT|Alejo Garcia|Alejo Garcia|Кудад-дель-Эсте|Кудад-дель-Эсте|Парагвай|Парагвай
AGU|AGU|Aguascalients|Aguascalients|Агуаскалиентес|Агуаскалиентес|Мексика|Мексика
AGV|AGV|Acarigua|Acarigua|Акарикуа|Акарикуа|Венесуэла|Венесуэла
AGW|AGW|Agnew|Agnew|||Австралия|Австралия
AGX|AGX|Agatti Island|Agatti Island|Агатти-Айленд|Агатти-Айленд|Индия|Индия
AGY|AGY|Argyle Downs|Argyle Downs|||Австралия|Австралия
AGZ|AGZ|Aggeneys|Aggeneys|Аггенейз|Аггенейз|ЮАР|ЮАР
AHA|AHA|Naha Air Force Base|Naha Air Force Base|Окинава|Окинава|Япония|Япония
AHB|AHB|Abha|Abha|Абха|Абха|Саудовская Аравия|Саудовская Аравия
AHC|AHC|Amedee AAF|Amedee AAF|||Норвегия|Норвегия
AHD|AHD|Downtown|Downtown|Ардмор|Ардмор|США|США
AHE|AHE|Ahe Airport|Ahe Airport|||Французская Полинезия|Французская Полинезия
AHF|AHF|Municipal|Municipal|||Гватемала|Гватемала
AHH|AHH|Municipal|Municipal|||США|США
AHI|AHI|Amahai|Amahai|Амахаи|Амахаи|Индонезия|Индонезия
AHL|AHL|Aishalton|Aishalton|Аисхалтон|Аисхалтон|Гайана|Гайана
AHN|AHN|Athens|Athens|Афины|Афины|Греция|Греция
AHO|AHO|Fertilia|Fertilia|||Италия|Италия
AHS|AHS|Ahuas|Ahuas|Ахуас|Ахуас|Гондурас|Гондурас
AHT|AHT|Amchitka|Amchitka|Ам-Тиман|Ам-Тиман|США|США
AHU|AHU|Charif Al Idrissi|Charif Al Idrissi|||Марокко|Марокко
AHY|AHY|Ambatolahy|Ambatolahy|Амбатолахи|Амбатолахи|Мадагаскар|Мадагаскар
AHZ|AHZ|Alpe D Huez|Alpe D Huez|||Франция|Франция
AIA|AIA|Alliance|Alliance|||США|США
AIB|AIB|Anita Bay|Anita Bay|||США|США
AIC|AIC|Airok|Airok|||Маршалловы острова|Маршалловы острова
AID|AID|Municipal|Municipal|||США|США
AIE|AIE|Aiome|Aiome|Айоме|Айоме|Папуа - Новая Гвинея|Папуа - Новая Гвинея
AIF|AIF|Assis|Assis|||Бразилия|Бразилия
AIG|AIG|Yalinga|Yalinga|Ялинга|Ялинга|Центральноафриканская Республика|Центральноафриканская Республика
AIH|AIH|Aiambak|Aiambak|||Папуа - Новая Гвинея|Папуа - Новая Гвинея
AII|AII|Alisabieh|Alisabieh|||Джибути|Джибути
AIK|AIK|Municipal|Municipal|||США|США
AIL|AIL|Ailigandi|Ailigandi|Айлиганди|Айлиганди|Панама|Панама
AIM|AIM|Ailuk Island|Ailuk Island|||Маршалловы острова|Маршалловы острова
AIN|AIN|Wainwright|Wainwright|||США|США
AIO|AIO|Municipal|Municipal|||США|США
AIP|AIP|Ailinglapalap Island|Ailinglapalap Island|||Маршалловы острова|Маршалловы острова
AIR|AIR|Aripuana|Aripuana|||Бразилия|Бразилия
AIS|AIS|Arorae Island|Arorae Island|Ароре-Айленд|Ароре-Айленд|Кирибати|Кирибати
AIT|AIT|Aitutaki|Aitutaki|Аитутаки|Аитутаки|Острова Кука|Острова Кука
